  4 Non Blondes -  Whats Up?
  Prāta Vētra -  Plaukstas Lieluma Pavasaris
  Prāta Vētra -  Prom Uz Siltajām Salām
  Prāta Vētra -  Starp Divām Saulēm
  Prāta Vētra -  Tevis Dēļ
  Prāta Vētra -  Tu Izvēlējies Palikt
  Prāta Vētra -  Visskumjākā Parāde Uz Mūsu Ielas
  Prāta Vētra -  Vēl Viena Klusā Daba
  Prāta Vētra -  Četri Krasti
  Prāta Vētra -  Īssavienojums
  Pupo -  Su Di Noi
  Putnu Balle -  Spārni Un Vējš
  Pērkons -  Gandrīz Tautasdziesma
  Pērkons -  Pie Baltas Lapas
  Pērkons -  Slidotava
  Pērkons -  Zaļā Dziesma
  Queen -  A Kind Of Magic
  Queen -  Bohemian Rhapsody
  Queen -  Dont Stop Me Now
  Queen -  Friends Will Be Friends
  Queen -  I Want It All
  Queen -  I Want To Break Free
  Queen -  Its A Hard Life
  Queen -  Radio Ga Ga
  Queen -  Somebody To Love
  Queen -  The Show Must Go On
  Queen -  We Are The Champions
  Queen -  We Will Rock You
  Queen -  Who Wants To Live Forever
  R.E.M. -  Everybody Hurts
  R.E.M. -  Losing My Religion
  R.E.M. -  Shiny Happy People
  R2M & DJ Krush -  Krushing On Enya (DJ Krush Remix)
  Raffaella Carrà -  A Far Lamore Comincia Tu
  Raimonda Vazdika -  Apsoli Man Neko
  Raimonds Pauls -  Muļķe Sirds
  Raimonds Pauls -  Tai Pilsētā
  Raimonds Pauls -  Tā Es Tevi Mīlēšu
  Raimonds Pauls -  Vīrietis Labākos Gados
  Ray Charles -  Hit The Road Jack
  RePublic -  Strēlniece
  Reamonn -  Supergirl
  Reamonn -  Tonight
  Rednex -  Hold Me For A While
  Rednex -  Wish You Were Here
  Remix -  Dzeltenās Kurpes
  Remix -  Kā Senā Dziesmā
  Remix -  Meitenei Kafejnīcā
  Remix -  Vienīgai
  Reynold Lambert -  Everything Is Okay
  Riccardo Fogli -  Storie Di Tutti I Giorni
  Ricchi E Poveri -  Come Vorrei
  Ricchi E Poveri -  Piccolo Amore
  Ricchi E Poveri -  Que Sera (Cosa Sei)
  Ricchi E Poveri -  Voulez-Vous Danser
  Richard Marx -  Hazard
  Richard Marx -  Now And Forever
  Richard Marx -  Right Here Waiting
  Ricky Martin & Christina Aguilera -  Nobody Wants To Be Lonely
  Ricky Martin -  Livin La Vida Loca
  Ricky Martin -  Private Emotion
  Right Said Fred -  Dont Talk Just Kiss
  Right Said Fred -  Love Song
  Right Said Fred -  Youre My Mate
  Rihanna -  Diamonds
  Rihanna Feat. Calvin Harris -  We Found Love
  Rob Thomas -  Her Diamonds
  Robbie Williams & Gary Barlow -  Shame
  Robbie Williams & Pet Shop Boys -  Shes Madonna
  Robbie Williams -  Angels
  Robbie Williams -  Feel
  Robbie Williams -  Millennium
  Robbie Williams -  No Regrets
  Robbie Williams -  Shes The One
  Robbie Williams -  Supreme
  Robbie Williams -  The Road To Mandalay
  Robbie Williams -  You Know Me
  Robert Miles -  Children
  Robert Miles Feat. Maria Nayler -  One & One (Radio Version)
  Robert Palmer & UB40 -  Ill Be Your Baby Tonight
  Robert Palmer -  Johnny And Mary
  Robert Palmer -  Know By Now
  Robert Plant -  29 Palms
  Roberts Lejasmeijers & Candy -  Rīts Ir Tālu Vēl
  Rod Stewart -  All For Love
  Rod Stewart -  Baby Jane
  Rod Stewart -  Every Beat Of My Heart
  Rod Stewart -  Have I Told You Lately (Unplugged Version)
  Rod Stewart -  Rhythm Of My Heart
  Rod Stewart -  Some Guys Have All The Luck
  Rod Stewart Feat. Stevie Wonder -  What A Wonderful World
  Roman Ridder -  Venus
  Ronan Keating & Yusuf -  Father And Son (New Steve Mac)
  Ronan Keating -  If Tomorrow Never Comes
  Ronan Keating -  Time After Time
  Ronan Keating -  When You Say Nothing At All
  Ronan Keating Feat. Bryan Adams -  The Way You Make Me Feel
  Roxette -  Crash! Boom! Bang!
  Roxette -  Dangerous
  Roxette -  Fading Like A Flower (Every Time You Leave)
  Roxette -  How Do You Do!
  Roxette -  It Must Have Been Love
  Roxette -  Joyride
  Roxette -  Listen To Your Heart
  Roxette -  Milk And Toast And Honey
  Roxette -  Queen Of Rain
  Roxette -  Sleeping In My Car
  Roxette -  Spending My Time
  Roxette -  The Look
  Roxette -  Wish I Could Fly
  Roy Orbison -  California Blue
  Ryan Paris -  Dolce Vita
  Sam Smith -  Stay With Me
  Sandra -  Heaven Can Wait
  Sandra -  In The Heat Of The Night
  Sandra -  Innocent Love
  Sandra -  Johnny Wanna Live
  Sandra -  Maria Magdalena
  Sandra -  One More Night
  Sandra -  Secret Land
  Sandra -  Stop For A Minute
  Saragossa Band -  Big Bamboo
  Sasha -  I Feel Lonely
  Sasha -  If You Believe
  Savage -  Dont Cry Tonight
  Savage -  Only You
  Savage Garden -  I Knew I Loved You
  Savage Garden -  I Want You
  Savage Garden -  To The Moon & Back
  Savage Garden -  Truly Madly Deeply
  Scatman John -  Scatmans World
  Scissor Sisters -  Fire With Fire
  Scorpions -  Does Anyone Know
  Scorpions -  Send Me An Angel
  Scorpions -  Still Loving You
  Scorpions -  White Dove
  Scorpions -  Wind Of Change
  Scorpions -  You & I (Live)
  Scorpions -  You And I
  Scott McKenzie -  San Francisco (Be Sure To Wear Some Flowers In Your Hair)
  Seal -  Kiss From A Rose
  Secret Service -  Aux Deux Magots
  Secret Service -  L.A. Goodbye
  Secret Service -  Ten Oclock Postman
  September -  Cry For You
  Shakespears Sister -  Hello (Turn Your Radio On)
  Shakin Stevens -  You Drive Me Crazy
  Shakira -  Gypsy (Freemasons Remix)
  Shakira -  Underneath Your Clothes
  Shakira Feat. Freshlyground -  Waka Waka (This Time For Africa)
  Shania Twain -  Ka-Ching!
  Shania Twain -  That Dont Impress Me Much
  Shania Twain -  Youre Still The One
  Sharman Mas -  Rock Boy
  Sheppard -  Geronimo
  Sheryl Crow -  All I Wanna Do
  Sia -  Chandelier
  Sia -  Cheap Thrills
  Sia -  The Greatest
  Simon & Garfunkel -  El Condor Pasa (If I Could)
  Simon & Garfunkel -  Mrs. Robinson
  Simon Webbe -  No Worries
  Simply Red -  For Your Babies
  Simply Red -  If You Dont Know Me By Now
  Simply Red -  Stars
  Sinéad OConnor -  Chiquitita
  Sinéad OConnor -  Nothing Compares 2 U
  Slade -  My Oh My
  Smokie -  If You Think You Know How To Love Me
  Smokie -  Living Next Door To Alice
  Snow Patrol -  Chasing Cars
  Sonique -  It Feels So Good
  Sonique -  Sky
  Sonja Bishop -  Ylove Who Ylove
  Sophie B. Hawkins -  As I Lay Me Down
  Sophie B. Hawkins -  Right Beside You
  Soul Asylum -  Runaway Train
  Soultans -  Cant Take My Hands Off You
  Sparks -  When Do I Get To Sing My Way
  Spice Girls -  2 Become 1
  Spice Girls -  Too Much
  Spice Girls -  Viva Forever
  Spiller -  Groovejet (If This Aint Love)
  Starship -  Nothings Gonna Stop Us Now
  Status Quo -  In The Army Now
  Stephan Bodzin -  Rose
  Stephanie -  Irresistible
  Stephanie -  One Love To Give (Remix)
  Stephanie -  Ouragan
  Steve Miller Band -  Abracadabra
  Sting -  All This Time
  Sting -  Desert Rose
  Sting -  Fields Of Gold
  Sting -  Shape Of My Heart
  Style Orchestra Big Band -  Bailemos Twist (Твист)
  Styx -  Boat On The River
  Sugababes -  Shape
  Sunrise Avenue -  Fairytale Gone Bad
  Supermode -  Tell Me Why
  Surf Mesa Feat. Emilee -  ily (i love you baby)
  Survivor -  Eye Of The Tiger
  Suzanne Vega -  Luka
  T-Rio -  Mamae Eu Quero (Choopeta)
  Taco -  Puttin On The Ritz
  Taio Cruz -  Break Your Heart
  Take That -  Back For Good
  Take That -  How Deep Is Your Love
  Tanita Tikaram -  Twist In My Sobriety
  Tanita Tikaram -  World Outside Your Window
  Tasmin Archer -  Sleeping Satellite
  Taylor Swift -  Shake It Off
  Ten Sharp -  You
  Terence Trent DArby -  Sign Your Name
  Texas -  Summer Son
  The Alan Parsons Project -  Eye In The Sky
  The Animals -  The House Of The Rising Sun
  The Art Company -  Susanna
  The Bangles -  Manic Monday
  The Beatles -  Here Comes The Sun
  The Beatles -  Hey Jude
  The Beatles -  Let It Be
  The Beatles -  Yesterday
  The Beautiful South -  A Little Time
  The Beloved -  Sweet Harmony
  The Bobby Christian Band -  North South Cha Cha
  The Calling -  Wherever You Will Go
  The Chainsmokers & Coldplay -  Something Just Like This
  The Common Linnets -  Calm After The Storm
  The Connells -  74-75
  The Corrs -  What Can I Do
  The Cranberries -  Dreams
  The Cranberries -  Ode To My Family
  The Cranberries -  When Youre Gone
  The Cure -  Friday Im In Love
  The Gibson Brothers -  Que Sera Mi Vida (Original 12 Mix)
  The Hobos -  Christian (Im Gonna Be)
  The Hobos -  Walk All Night
  The Hooters -  Johnny B
  The Human League -  One Man In My Heart
  The Kelly Family -  An Angel
  The Kelly Family -  Every Baby
  The Killers -  Human
  The Mavericks -  Dance The Night Away
  The Platters -  Only You
  The Platters -  Smoke Gets In Your Eyes
  The Police -  Every Breath You Take
  The Rasmus -  In The Shadows
  The Revivalists -  Wish I Knew You
  The Rolling Stones -  Anybody Seen My Baby?
  The Shorts -  Comment Ça Va
  The Sound Poets -  Kalniem Pāri
  The Traveling Wilburys -  Handle With Care
  The Twins -  Not The Loving Kind (Extended Version)
  The Vamps Feat. Shawn Mendes -  Oh Cecilia (Breaking My Heart)
  Tiffany -  I Think Were Alone Now
  Tight Fit -  The Lion Sleeps Tonight
  Timbaland Feat. OneRepublic -  Apologize
  Timmy T -  One More Try
  Tina Turner -  I Dont Wanna Lose You
  Tina Turner -  Missing You
  Tina Turner -  The Best
  Tina Turner -  Typical Male
  Tina Turner -  We Dont Need Another Hero (Thunderdome)
  Tina Turner -  Whats Love Got To Do With It
  Tina Turner -  When The Heartache Is Over
  Titiyo -  Come Along
  Toni Braxton -  Un-Break My Heart
  Tony Esposito -  Kalimba De Luna
  Toto -  Africa
  Toto Cutugno -  Innamorati
  Toto Cutugno -  Litaliano
  Toto Cutugno -  Serenata
  Toto Cutugno -  Solo Noi
  Touch Sensitive -  Pizza Guy
  Tracy Chapman -  Baby Can I Hold You
  Train -  50 Ways To Say Goodbye
  Travis -  Sing
  Triana Park -  Mālos Pelēkos
  Triana Park Feat. Интарс Бусулис -  Kamēr
  Trippi3 Blackh3art Feat. FLEXX -  Why
  Tumsa -  Arī Man Ir Sirds (Ša La La)
  Tumsa -  Dzīve Kā Košums
  Tumsa -  Es Esmu Mazliet Don Kihots
  Tumsa -  Kad Ēģiptē Sniegs
  Tumsa -  Lietus Dārzs
  Tumsa -  Paspēlēsim Paslēpes
  Tumsa -  Spēlējot Debesis
  Tumsa -  Un Pirms Mēs Aizmigām
  Two Of Us -  Blue Night Shadow (Single Version)
  U2 -  With Or Without You
  UB40 -  (I Cant Help) Falling In Love With You
  UB40 -  Kingston Town
  UB40 -  Red Red Wine
  UB40 Feat. Chrissie Hynde -  I Got You Babe
  Ultravox -  Dancing With Tears In My Eyes
  Uncle Kracker -  Follow Me
  Usa For Africa -  We Are The World
  Vaidava -  Pusnakts Stundā (Rl Vs. Reverss Remix)
  Vaidava -  Tu Būsi Vēl
  Vance Joy -  Riptide
  Vanessa Paradis -  Joe Le Taxi
  Vangelis -  Conquest Of Paradise
  Vaya Con Dios -  Nah Neh Nah
  Vengaboys -  Shalala Lala
  Viegli Feat. Renārs Kaupers -  Mazā Bilžu Rāmītī
  Village People -  In The Navy
  Village People -  Y.M.C.A.
  Visage -  Fade To Grey
  Voz en Acción Show Choir -  Michael Jackson
  Westlife -  Flying Without Wings
  Westlife -  Seasons In The Sun
  Wet Wet Wet -  Love Is All Around
  Wham! -  Wake Me Up Before You Go-Go
  Whitney Houston -  All The Man That I Need
  Whitney Houston -  I Wanna Dance With Somebody (Who Loves Me)
  Whitney Houston -  I Will Always Love You
  Whitney Houston -  One Moment In Time
  Will Young -  Leave Right Now
  Yazoo -  Only You
  Yello -  Vicious Games
  Youssou NDour & Neneh Cherry -  7 Seconds
  Z & Scars -  Ja Tu Esi Viens
  Z-Scars -  Tu Tuvojies Sev
  Zhi-Vago -  Celebrate The Love
  Zigmars Liepins & Artūrs Šingirejs -  Song From Musical Drama Needle #3 (If I Have You)
  Ziv Moran -  Inhalation
  Zodiaks -  Taisnība
  Zucchero -  Baila (Sexy Thing)
  Zucchero Feat. Paul Young -  Senza Una Donna (English Version)
  Агата Кристи -  From Sarah With Love
  Динамит -  Boys (Summertime Love)
  Дмитрий Сизов -  Было - не было
  Другие Правила -  Она Тебе Нужна (Original Title Still With Love With You)
  Зодиак -  Manas Mīļākās Puķes
  Иванна -  Письмо с войны
  Интарс Бусулис & Abonementa Orķestris -  Debesis
  Интарс Бусулис -  Brīvdiena
  Интарс Бусулис -  Miglas Rīts
  Лайма Вайкуле & Raimonds Pauls -  Nenāciet klāt man rudenī
  Михаил Джексонович -  Plohish
  Ольга Полякова -  Суперблондинка
  Перси Санки -  When a Man Loves a Woman
  Стинг -  Englishman in New York
